2026-05-07 14:30:08 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmpassp6qdv.csv (编码: utf-8)
2026-05-07 14:30:08 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmptpiy4598.csv (编码: utf-8)
2026-05-07 14:30:08 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmphysns5jv.csv (编码: utf-8)
2026-05-07 14:30:08 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmp7ogf5dze.csv (编码: utf-8)
2026-05-07 14:30:08 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmpkbftapg6.csv (编码: utf-8)
2026-05-07 14:30:08 | INFO     | dqengine.services.orchestrator | Step 1: 加载数据 tmp1477zeai.csv
2026-05-07 14:30:09 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmp1477zeai.csv (编码: utf-8)
2026-05-07 14:30:09 | INFO     | dqengine.services.orchestrator | Step 2: 清洗前数据分析
2026-05-07 14:30:09 | INFO     | dqengine.services.orchestrator |   清洗前质量评分: 90.0 (A)
2026-05-07 14:30:09 | INFO     | dqengine.services.orchestrator | Step 3: 移除重复行
2026-05-07 14:30:09 | INFO     | dqengine.services.orchestrator |   已移除 1 个重复行
2026-05-07 14:30:09 | INFO     | dqengine.services.orchestrator | Step 4: 填充缺失值 (策略: mean)
2026-05-07 14:30:09 | INFO     | dqengine.services.orchestrator |   已填充 0 个缺失值
2026-05-07 14:30:09 | INFO     | dqengine.services.orchestrator | Step 5: 日期标准化
2026-05-07 14:30:09 | INFO     | dqengine.services.orchestrator | Step 6: 异常值检测 (方法: iqr)
2026-05-07 14:30:09 | INFO     | dqengine.services.orchestrator |   检测到 0 个异常值
2026-05-07 14:30:09 | INFO     | dqengine.services.orchestrator | Step 8: 清洗后数据分析
2026-05-07 14:30:09 | INFO     | dqengine.services.orchestrator |   清洗后质量评分: 100.0 (A)
2026-05-07 14:30:09 | INFO     | dqengine.services.orchestrator | 数据已保存: C:\Users\13033\AppData\Local\Temp\tmpgtskkk2x.csv
2026-05-07 14:30:09 | INFO     | dqengine.services.orchestrator | Step 10: 生成报告
2026-05-07 14:30:09 | INFO     | dqengine.services.orchestrator | 报告已生成: C:\Users\13033\AppData\Local\Temp\tmp4xtm9oj2.html
2026-05-07 14:30:09 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmp8r1n21ki.csv (编码: utf-8)
2026-05-07 14:30:09 | INFO     | dqengine.pipeline.generator | Pipeline 已生成: C:\Users\13033\AppData\Local\Temp\tmpia1y67ll.py (4 个步骤)
2026-05-07 14:30:09 | DEBUG    | dqengine.core.loader | CSV 加载成功: test.csv (编码: utf-8)
2026-05-07 14:30:09 | DEBUG    | dqengine.core.loader | CSV 加载成功: sample.csv (编码: utf-8)
2026-05-07 14:30:09 | DEBUG    | dqengine.core.loader | CSV 加载成功: gbk_test.csv (编码: gbk)
2026-05-07 14:30:09 | DEBUG    | dqengine.core.loader | Excel 加载: test.xlsx
2026-05-07 14:30:09 | DEBUG    | dqengine.core.loader | JSON 加载: tmp3iicmp1f.json
2026-05-07 14:30:09 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmpj9nxtykq.csv (编码: utf-8)
2026-05-07 14:30:10 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmp3cscgvh_.csv (编码: utf-8)
2026-05-07 14:30:10 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmpj0c5b5ch.csv (编码: utf-8)
2026-05-07 14:30:10 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmpz0ekd7or.csv (编码: utf-8)
2026-05-07 14:32:10 | INFO     | dqengine.services.config_manager | 加载配置: tmp4cr2rkbo.yaml
2026-05-07 14:32:10 | INFO     | dqengine.services.config_manager | 配置已导出: C:\Users\13033\AppData\Local\Temp\tmpssrmbf6w.yaml
2026-05-07 14:32:10 | INFO     | dqengine.services.config_manager | 加载配置: tmpssrmbf6w.yaml
2026-05-07 14:32:10 | INFO     | dqengine.services.config_manager | 加载配置: tmpyexrmgws.yaml
2026-05-07 14:32:10 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmpj4oxz484.csv (编码: utf-8)
2026-05-07 14:32:10 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmp6ise07cy.csv (编码: utf-8)
2026-05-07 14:32:10 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmp2d21_fao.csv (编码: utf-8)
2026-05-07 14:32:10 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmp866gchc_.csv (编码: utf-8)
2026-05-07 14:32:10 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmp3n4mw7zd.csv (编码: utf-8)
2026-05-07 14:32:10 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmp_w9hjejo.csv (编码: utf-8)
2026-05-07 14:32:10 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmp650qrkem.csv (编码: utf-8)
2026-05-07 14:32:10 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmp282o1fzy.csv (编码: utf-8)
2026-05-07 14:32:10 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmpiz__83lq.csv (编码: utf-8)
2026-05-07 14:32:10 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmpqu77yqlw.csv (编码: utf-8)
2026-05-07 14:32:10 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmp5utr7s_i.csv (编码: utf-8)
2026-05-07 14:32:10 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmpb8ak1lzk.csv (编码: utf-8)
2026-05-07 14:32:10 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmpccdude9j.csv (编码: utf-8)
2026-05-07 14:32:10 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmpnvdms2fk.csv (编码: utf-8)
2026-05-07 14:32:10 | INFO     | dqengine.services.orchestrator | Step 1: 加载数据 tmpxqgxjnng.csv
2026-05-07 14:32:10 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmpxqgxjnng.csv (编码: utf-8)
2026-05-07 14:32:10 | INFO     | dqengine.services.orchestrator | Step 2: 清洗前数据分析
2026-05-07 14:32:10 | INFO     | dqengine.services.orchestrator |   清洗前质量评分: 90.0 (A)
2026-05-07 14:32:10 | INFO     | dqengine.services.orchestrator | Step 3: 移除重复行
2026-05-07 14:32:10 | INFO     | dqengine.services.orchestrator |   已移除 1 个重复行
2026-05-07 14:32:10 | INFO     | dqengine.services.orchestrator | Step 4: 填充缺失值 (策略: mean)
2026-05-07 14:32:10 | INFO     | dqengine.services.orchestrator |   已填充 0 个缺失值
2026-05-07 14:32:10 | INFO     | dqengine.services.orchestrator | Step 5: 日期标准化
2026-05-07 14:32:10 | INFO     | dqengine.services.orchestrator | Step 6: 异常值检测 (方法: iqr)
2026-05-07 14:32:10 | INFO     | dqengine.services.orchestrator |   检测到 0 个异常值
2026-05-07 14:32:10 | INFO     | dqengine.services.orchestrator | Step 8: 清洗后数据分析
2026-05-07 14:32:10 | INFO     | dqengine.services.orchestrator |   清洗后质量评分: 100.0 (A)
2026-05-07 14:32:10 | INFO     | dqengine.services.orchestrator | 数据已保存: C:\Users\13033\AppData\Local\Temp\tmpk7cobbh4.csv
2026-05-07 14:32:10 | INFO     | dqengine.services.orchestrator | Step 10: 生成报告
2026-05-07 14:32:10 | INFO     | dqengine.services.orchestrator | 报告已生成: C:\Users\13033\AppData\Local\Temp\tmplqn3x3_f.html
2026-05-07 14:32:10 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmpoi3ovg0a.csv (编码: utf-8)
2026-05-07 14:32:10 | INFO     | dqengine.pipeline.generator | Pipeline 已生成: C:\Users\13033\AppData\Local\Temp\tmppng1egqt.py (4 个步骤)
2026-05-07 14:32:10 | DEBUG    | dqengine.core.loader | CSV 加载成功: test.csv (编码: utf-8)
